period,y,YrMean,Seasonality(Y-YrMean),Trend(MA12),Y-(Seas+Trend),L1,AR1,L2,AR2,L3,AR3
01/01/1949,112,127.4545455,-15.45454545,9.333333333,118.1212121,0,0,0,0,0,0
01/02/1949,118,127.4545455,-9.454545455,19.16666667,108.2878788,118.1212121,-9.833333333,0,108.2878788,0,0
01/03/1949,132,127.4545455,4.545454545,30.16666667,97.28787879,108.2878788,-11,118.1212121,-20.83333333,0,0
01/04/1949,129,127.4545455,1.545454545,40.91666667,86.53787879,97.28787879,-10.75,108.2878788,-21.75,118.1212121,-31.58333333
01/05/1949,121,127.4545455,-6.454545455,51,76.45454545,86.53787879,-10.08333333,97.28787879,-20.83333333,108.2878788,-31.83333333
01/06/1949,135,127.4545455,7.545454545,62.25,65.20454545,76.45454545,-11.25,86.53787879,-21.33333333,97.28787879,-32.08333333
01/07/1949,148,127.4545455,20.54545455,74.58333333,52.87121212,65.20454545,-12.33333333,76.45454545,-23.58333333,86.53787879,-33.66666667
01/08/1949,148,127.4545455,20.54545455,86.91666667,40.53787879,52.87121212,-12.33333333,65.20454545,-24.66666667,76.45454545,-35.91666667
01/09/1949,136,127.4545455,8.545454545,98.25,29.20454545,40.53787879,-11.33333333,52.87121212,-23.66666667,65.20454545,-36
01/10/1949,119,127.4545455,-8.454545455,108.1666667,19.28787879,29.20454545,-9.916666667,40.53787879,-21.25,52.87121212,-33.58333333
01/11/1949,104,127.4545455,-23.45454545,116.8333333,10.62121212,19.28787879,-8.666666667,29.20454545,-18.58333333,40.53787879,-29.91666667
01/12/1949,118,127.4545455,-9.454545455,126.6666667,0.787878788,10.62121212,-9.833333333,19.28787879,-18.5,29.20454545,-28.41666667
01/01/1950,115,139.6363636,-24.63636364,126.9166667,12.71969697,0.787878788,11.93181818,10.62121212,2.098484848,19.28787879,-6.568181818
01/02/1950,126,139.6363636,-13.63636364,127.5833333,12.0530303,12.71969697,-0.666666667,0.787878788,11.26515152,10.62121212,1.431818182
01/03/1950,141,139.6363636,1.363636364,128.3333333,11.3030303,12.0530303,-0.75,12.71969697,-1.416666667,0.787878788,10.51515152
01/04/1950,135,139.6363636,-4.636363636,128.8333333,10.8030303,11.3030303,-0.5,12.0530303,-1.25,12.71969697,-1.916666667
01/05/1950,125,139.6363636,-14.63636364,129.1666667,10.46969697,10.8030303,-0.333333333,11.3030303,-0.833333333,12.0530303,-1.583333333
01/06/1950,149,139.6363636,9.363636364,130.3333333,9.303030303,10.46969697,-1.166666667,10.8030303,-1.5,11.3030303,-2
01/07/1950,170,139.6363636,30.36363636,132.1666667,7.46969697,9.303030303,-1.833333333,10.46969697,-3,10.8030303,-3.333333333
01/08/1950,170,139.6363636,30.36363636,134,5.636363636,7.46969697,-1.833333333,9.303030303,-3.666666667,10.46969697,-4.833333333
01/09/1950,158,139.6363636,18.36363636,135.8333333,3.803030303,5.636363636,-1.833333333,7.46969697,-3.666666667,9.303030303,-5.5
01/10/1950,133,139.6363636,-6.636363636,137,2.636363636,3.803030303,-1.166666667,5.636363636,-3,7.46969697,-4.833333333
01/11/1950,114,139.6363636,-25.63636364,137.8333333,1.803030303,2.636363636,-0.833333333,3.803030303,-2,5.636363636,-3.833333333
01/12/1950,140,139.6363636,0.363636364,139.6666667,-0.03030303,1.803030303,-1.833333333,2.636363636,-2.666666667,3.803030303,-3.833333333
01/01/1951,145,170.5454545,-25.54545455,142.1666667,28.37878788,-0.03030303,28.40909091,1.803030303,26.57575758,2.636363636,25.74242424
01/02/1951,150,170.5454545,-20.54545455,144.1666667,26.37878788,28.37878788,-2,-0.03030303,26.40909091,1.803030303,24.57575758
01/03/1951,178,170.5454545,7.454545455,147.25,23.29545455,26.37878788,-3.083333333,28.37878788,-5.083333333,-0.03030303,23.32575758
01/04/1951,163,170.5454545,-7.545454545,149.5833333,20.96212121,23.29545455,-2.333333333,26.37878788,-5.416666667,28.37878788,-7.416666667
01/05/1951,172,170.5454545,1.454545455,153.5,17.04545455,20.96212121,-3.916666667,23.29545455,-6.25,26.37878788,-9.333333333
01/06/1951,178,170.5454545,7.454545455,155.9166667,14.62878788,17.04545455,-2.416666667,20.96212121,-6.333333333,23.29545455,-8.666666667
01/07/1951,199,170.5454545,28.45454545,158.3333333,12.21212121,14.62878788,-2.416666667,17.04545455,-4.833333333,20.96212121,-8.75
01/08/1951,199,170.5454545,28.45454545,160.75,9.795454545,12.21212121,-2.416666667,14.62878788,-4.833333333,17.04545455,-7.25
01/09/1951,184,170.5454545,13.45454545,162.9166667,7.628787879,9.795454545,-2.166666667,12.21212121,-4.583333333,14.62878788,-7
01/10/1951,162,170.5454545,-8.545454545,165.3333333,5.212121212,7.628787879,-2.416666667,9.795454545,-4.583333333,12.21212121,-7
